task,solution,label
"Напиши функцию add(x, y), которая возвращает их сумму. (пример 1)","def add(x, y): return x + y",корректно
"Создай функцию square(n), возвращающую квадрат числа. (пример 1)",def square(n): return n * n,корректно
"Создай функцию max_of_two(a, b), возвращающую максимум. (пример 1)","def max_of_two(a, b): return a > b ? a : b",синтаксическая ошибка
"Создай функцию divide(x, y), которая возвращает результат деления. (пример 1)","def divide(x, y): return x / y if y != 0 else None",корректно
"Напиши функцию hello(), печатающую 'Hello World'. (пример 1)",def hello(): print('Hello World'),корректно
Функция должна возвращать квадрат числа. (пример 1),def sq(x): return x ** 2,корректно
"Создай функцию minus(a, b), которая вычитает a из b. (пример 1)","def minus(a, b): return b - a",корректно
"Напиши функцию reverse_string(s), возвращающую строку наоборот. (пример 1)",def reverse_string(s): return s[::-1],корректно
"Функция, которая возвращает длину строки. (пример 1)",def len(s): return len(s),ошибка: переопределение встроенной функции
"Создай функцию деления, которая делит два числа. (пример 1)","def divide(x, y): return x / y",ошибка: деление на 0 не проверяется
"Напиши функцию add(x, y), которая возвращает их сумму. (пример 2)","def add(x, y): return x + y",корректно
"Создай функцию square(n), возвращающую квадрат числа. (пример 2)",def square(n): return n * n,корректно
"Создай функцию max_of_two(a, b), возвращающую максимум. (пример 2)","def max_of_two(a, b): return a > b ? a : b",синтаксическая ошибка
"Создай функцию divide(x, y), которая возвращает результат деления. (пример 2)","def divide(x, y): return x / y if y != 0 else None",корректно
"Напиши функцию hello(), печатающую 'Hello World'. (пример 2)",def hello(): print('Hello World'),корректно
Функция должна возвращать квадрат числа. (пример 2),def sq(x): return x ** 2,корректно
"Создай функцию minus(a, b), которая вычитает a из b. (пример 2)","def minus(a, b): return b - a",корректно
"Напиши функцию reverse_string(s), возвращающую строку наоборот. (пример 2)",def reverse_string(s): return s[::-1],корректно
"Функция, которая возвращает длину строки. (пример 2)",def len(s): return len(s),ошибка: переопределение встроенной функции
"Создай функцию деления, которая делит два числа. (пример 2)","def divide(x, y): return x / y",ошибка: деление на 0 не проверяется
"Напиши функцию add(x, y), которая возвращает их сумму. (пример 3)","def add(x, y): return x + y",корректно
"Создай функцию square(n), возвращающую квадрат числа. (пример 3)",def square(n): return n * n,корректно
"Создай функцию max_of_two(a, b), возвращающую максимум. (пример 3)","def max_of_two(a, b): return a > b ? a : b",синтаксическая ошибка
"Создай функцию divide(x, y), которая возвращает результат деления. (пример 3)","def divide(x, y): return x / y if y != 0 else None",корректно
"Напиши функцию hello(), печатающую 'Hello World'. (пример 3)",def hello(): print('Hello World'),корректно
Функция должна возвращать квадрат числа. (пример 3),def sq(x): return x ** 2,корректно
"Создай функцию minus(a, b), которая вычитает a из b. (пример 3)","def minus(a, b): return b - a",корректно
"Напиши функцию reverse_string(s), возвращающую строку наоборот. (пример 3)",def reverse_string(s): return s[::-1],корректно
"Функция, которая возвращает длину строки. (пример 3)",def len(s): return len(s),ошибка: переопределение встроенной функции
"Создай функцию деления, которая делит два числа. (пример 3)","def divide(x, y): return x / y",ошибка: деление на 0 не проверяется
"Напиши функцию add(x, y), которая возвращает их сумму. (пример 4)","def add(x, y): return x + y",корректно
"Создай функцию square(n), возвращающую квадрат числа. (пример 4)",def square(n): return n * n,корректно
"Создай функцию max_of_two(a, b), возвращающую максимум. (пример 4)","def max_of_two(a, b): return a > b ? a : b",синтаксическая ошибка
"Создай функцию divide(x, y), которая возвращает результат деления. (пример 4)","def divide(x, y): return x / y if y != 0 else None",корректно
"Напиши функцию hello(), печатающую 'Hello World'. (пример 4)",def hello(): print('Hello World'),корректно
Функция должна возвращать квадрат числа. (пример 4),def sq(x): return x ** 2,корректно
"Создай функцию minus(a, b), которая вычитает a из b. (пример 4)","def minus(a, b): return b - a",корректно
"Напиши функцию reverse_string(s), возвращающую строку наоборот. (пример 4)",def reverse_string(s): return s[::-1],корректно
"Функция, которая возвращает длину строки. (пример 4)",def len(s): return len(s),ошибка: переопределение встроенной функции
"Создай функцию деления, которая делит два числа. (пример 4)","def divide(x, y): return x / y",ошибка: деление на 0 не проверяется
"Напиши функцию add(x, y), которая возвращает их сумму. (пример 5)","def add(x, y): return x + y",корректно
"Создай функцию square(n), возвращающую квадрат числа. (пример 5)",def square(n): return n * n,корректно
"Создай функцию max_of_two(a, b), возвращающую максимум. (пример 5)","def max_of_two(a, b): return a > b ? a : b",синтаксическая ошибка
"Создай функцию divide(x, y), которая возвращает результат деления. (пример 5)","def divide(x, y): return x / y if y != 0 else None",корректно
"Напиши функцию hello(), печатающую 'Hello World'. (пример 5)",def hello(): print('Hello World'),корректно
Функция должна возвращать квадрат числа. (пример 5),def sq(x): return x ** 2,корректно
"Создай функцию minus(a, b), которая вычитает a из b. (пример 5)","def minus(a, b): return b - a",корректно
"Напиши функцию reverse_string(s), возвращающую строку наоборот. (пример 5)",def reverse_string(s): return s[::-1],корректно
"Функция, которая возвращает длину строки. (пример 5)",def len(s): return len(s),ошибка: переопределение встроенной функции
"Создай функцию деления, которая делит два числа. (пример 5)","def divide(x, y): return x / y",ошибка: деление на 0 не проверяется
